,country,age,gender,marital_status,education_level,funnel|exposure,funnel|enrollment,funnel|usage_basic,funnel|usage_sophisticated,funnel|usage,funnel|recent,funnel|longevity,funnel|frequent,funnel|retention
267,nigeria,29.0,1,7,5,False,False,False,False,False,False,False,False,False
268,nigeria,22.0,2,3,5,False,False,False,False,False,False,False,False,False
269,nigeria,53.0,2,3,4,False,False,False,False,False,False,False,False,False
270,nigeria,22.0,1,1,5,True,False,False,False,False,False,False,False,False
271,nigeria,37.0,2,3,3,False,False,False,False,False,False,False,False,False
272,nigeria,32.0,1,1,4,False,False,False,False,False,False,False,False,False
273,nigeria,19.0,2,1,5,False,False,False,False,False,False,False,False,False
274,nigeria,49.0,1,3,9,False,False,False,False,False,False,False,False,False
275,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
276,nigeria,19.0,2,1,4,False,False,False,False,False,False,False,False,False
277,nigeria,17.0,2,3,5,False,False,False,False,False,False,False,False,False
278,nigeria,18.0,1,1,4,False,False,False,False,False,False,False,False,False
279,nigeria,28.0,1,1,10,True,False,False,False,False,False,False,False,False
280,nigeria,55.0,1,5,2,False,False,False,False,False,False,False,False,False
281,nigeria,20.0,2,1,5,False,False,False,False,False,False,False,False,False
282,nigeria,32.0,1,1,8,True,False,False,False,False,False,False,False,False
283,nigeria,28.0,1,3,5,False,False,False,False,False,False,False,False,False
284,nigeria,23.0,1,2,5,False,False,False,False,False,False,False,False,False
285,nigeria,23.0,2,1,5,False,False,False,False,False,False,False,False,False
286,nigeria,29.0,1,1,5,False,False,False,False,False,False,False,False,False
287,nigeria,27.0,2,3,5,False,False,False,False,False,False,False,False,False
288,nigeria,30.0,1,1,5,False,False,False,False,False,False,False,False,False
289,nigeria,24.0,2,1,10,True,False,False,False,False,False,False,False,False
290,nigeria,22.0,1,1,5,False,False,False,False,False,False,False,False,False
291,nigeria,25.0,1,1,9,True,False,False,False,False,False,False,False,False
292,nigeria,23.0,1,1,5,False,False,False,False,False,False,False,False,False
293,nigeria,25.0,1,1,5,True,False,False,False,False,False,False,False,False
294,nigeria,18.0,2,1,5,True,False,False,False,False,False,False,False,False
295,nigeria,31.0,2,3,5,True,False,False,False,False,False,False,False,False
296,nigeria,19.0,1,1,6,True,False,False,False,False,False,False,False,False
297,nigeria,18.0,2,1,5,False,False,False,False,False,False,False,False,False
298,nigeria,28.0,1,1,10,True,False,False,False,False,False,False,False,False
299,nigeria,40.0,2,3,8,False,False,False,False,False,False,False,False,False
300,nigeria,22.0,2,3,11,False,False,False,False,False,False,False,False,False
301,nigeria,39.0,2,3,5,False,False,False,False,False,False,False,False,False
302,nigeria,22.0,2,1,5,True,False,False,False,False,False,False,False,False
303,nigeria,30.0,1,1,5,True,False,False,False,False,False,False,False,False
304,nigeria,19.0,1,1,5,False,False,False,False,False,False,False,False,False
305,nigeria,28.0,1,3,5,True,False,False,False,False,False,False,False,False
306,nigeria,26.0,2,1,11,True,False,False,False,False,False,False,False,False
307,nigeria,31.0,1,1,11,True,False,False,False,False,False,False,False,False
308,nigeria,26.0,2,3,5,True,False,False,False,False,False,False,False,False
309,nigeria,26.0,2,1,9,True,False,False,False,False,False,False,False,False
310,nigeria,18.0,1,1,4,False,False,False,False,False,False,False,False,False
311,nigeria,28.0,1,3,5,True,False,False,False,False,False,False,False,False
312,nigeria,40.0,2,3,3,False,False,False,False,False,False,False,False,False
313,nigeria,28.0,1,1,5,True,False,False,False,False,False,False,False,False
314,nigeria,25.0,2,1,4,False,False,False,False,False,False,False,False,False
315,nigeria,20.0,1,1,5,False,False,False,False,False,False,False,False,False
316,nigeria,25.0,2,1,4,False,False,False,False,False,False,False,False,False
317,nigeria,62.0,2,2,5,False,False,False,False,False,False,False,False,False
318,nigeria,19.0,1,1,4,False,False,False,False,False,False,False,False,False
319,nigeria,18.0,2,1,5,False,False,False,False,False,False,False,False,False
320,nigeria,29.0,2,2,11,False,False,False,False,False,False,False,False,False
